gsn,atc
11,C01AA
12,C01AA
13,C01AA
14,C01AA
15,C01AA
17,C01AA
18,C01AA
19,C01AA
32,D11AX
32,N06BC
33,D11AX
33,N06BC
66,R03DA
69,R03DA
76,R03DA
83,R03DA
84,R03DA
85,R03DA
87,R03DA
88,R03DA
90,R03DA
91,R03DA
93,R03DA
94,R03DA
110,R03DA
123,R03DA
178,A01AD
178,B02BC
178,C01CA
178,R01AA
178,R03AA
178,S01EA
180,A01AD
180,B02BC
180,C01CA
180,R01AA
180,R03AA
180,S01EA
213,R01AD
213,R03BA
215,C01BA
222,C01BA
223,C01BA
239,C01BA
240,C01BA
241,C01BA
242,C01BA
263,C01BC
264,C01BC
265,C01BC
266,C01BD
267,C01BB
268,C01BB
269,C01BB
282,C02DB
283,C02DB
284,C02DB
285,C02DB
286,C02DB
287,C02DB
291,C02CA
292,C02CA
293,C02CA
298,C02DA
298,V03AH
299,C02DC
299,D11AX
300,C02DC
300,D11AX
301,G04CA
302,G04CA
303,G04CA
304,G04CA
326,C02AA
327,C02AA
340,C03BA
340,C02AC
340,N02CX
340,S01EA
341,C03BA
341,C02AC
341,N02CX
341,S01EA
342,C03BA
342,C02AC
342,N02CX
342,S01EA
343,C02AC
343,N02CX
343,S01EA
344,C02AC
344,N02CX
344,S01EA
345,C02AC
345,N02CX
345,S01EA
346,C02AC
346,N02CX
346,S01EA
347,C02AC
347,N02CX
347,S01EA
348,C02AC
348,N02CX
348,S01EA
360,C02AB
361,C02AB
362,C02AB
364,C02AC
373,C02BB
374,C09AA
374,C03AA
375,C09AA
375,C03AA
378,C09AA
379,C09AA
380,C09AA
381,C09AA
382,C09AA
382,C03AA
384,C09AA
385,C09AA
386,C09AA
387,C09AA
388,C09AA
388,C03AA
389,C09AA
389,C03AA
390,C09AA
391,C09AA
392,C09AA
393,C09AA
410,C03AA
410,C07AA
412,C03AA
412,C07AB
413,C03AA
413,C07AB
414,C03AA
414,C07AB
419,C07AB
419,C03BA
420,C07AB
420,C03BA
454,C01DA
454,C05AE
455,C01DA
455,C05AE
456,C01DA
456,C05AE
464,C01DA
464,C05AE
465,C01DA
465,C05AE
466,C01DA
466,C05AE
467,C01DA
467,C05AE
468,C01DA
468,C05AE
469,C01DA
469,C05AE
474,C01DA
474,C05AE
475,C01DA
475,C05AE
476,C01DA
476,C05AE
477,C01DA
477,C05AE
505,C01DA
505,C05AE
507,C01DA
507,C05AE
508,C01DA
508,C05AE
509,C01DA
509,C05AE
510,C01DA
510,C05AE
511,C01DA
511,C05AE
514,C01DA
514,C05AE
516,C01DA
516,C05AE
524,A03AD
524,G04BE
527,A03AD
527,G04BE
557,C01EA
557,G04BE
560,C05BB
564,C08DA
565,C08DA
566,C08DA
567,C08DA
568,C08CA
569,C08CA
570,C05AE
570,C08DB
571,C05AE
571,C08DB
572,C05AE
572,C08DB
573,C05AE
573,C08DB
574,C05AE
574,C08DB
575,C05AE
575,C08DB
576,C05AE
576,C08DB
577,C08CA
578,C08CA
579,C08CA
584,A12CA
584,B05CB
584,B05XA
585,A12CA
585,B05CB
585,B05XA
586,A12CA
586,B05CB
586,B05XA
587,A12CA
587,B05CB
587,B05XA
588,A12CA
588,B05CB
588,B05XA
591,R05CB
591,S01XA
591,V03AB
592,R05CB
592,S01XA
592,V03AB
625,R05DA
625,R05CA
625,C01CA
625,R01AA
625,R01AB
625,R01BA
625,S01FB
625,S01GA
652,R05DA
652,R05CA
653,R05DA
653,R05CA
702,R05CA
702,C01CA
702,R01AA
702,R01AB
702,R01BA
702,S01FB
702,S01GA
728,R05DA
728,R05CA
728,R01BA
755,R05CA
755,R01BA
756,R05CA
757,R05CA
758,R05CA
759,R05CA
760,R05CA
761,R05CA
762,R05CA
846,S01FA
846,A03BB
846,R05DA
867,N02BE
867,R06AB
1104,N02BE
1104,R06AB
1104,R01BA
1150,R06AX
1150,R01BA
1151,R06AX
1151,R01BA
1179,B05CB
1179,B05XA
1181,B05CB
1181,B05XA
1187,A12AA
1187,B05XA
